,name,year,id,evening_ratio,departure_count,arrival_count
0,Canal St & Madison St,2016,174,1.4373567958940519,10911,15683
1,Franklin St & Monroe St,2016,287,0.10685465170206845,10781,1152
2,Clinton St & Washington Blvd,2016,91,1.5326484243801244,10123,15515
3,Clinton St & Madison St,2016,77,0.9835888576981213,9262,9110
4,Daley Center Plaza,2016,81,0.1855807743658211,8988,1668
5,Kingsbury St & Kinzie St,2016,133,0.7659894657637322,7974,6108
6,Canal St & Jackson Blvd,2016,75,0.9905648509246446,7949,7874
7,LaSalle St & Jackson Blvd,2016,283,0.3010066638309939,7053,2123
8,Canal St & Adams St,2016,192,2.02328222600795,7044,14252
9,Dearborn St & Monroe St,2016,49,0.24344946731932046,6946,1691
10,Michigan Ave & Washington St,2016,43,0.5212996389891696,6925,3610
11,Columbus Dr & Randolph St,2016,195,0.3635265700483092,6624,2408
12,Franklin St & Quincy St,2016,286,0.34735672328941103,6299,2188
13,Michigan Ave & Lake St,2016,52,0.24776643267389917,6268,1553
14,Clinton St & Lake St,2016,66,0.9833005893909627,6108,6006
15,Theater on the Lake,2016,177,1.0134445200816882,5876,5955
16,Franklin St & Jackson Blvd,2016,36,0.44779080252479714,5545,2483
17,Orleans St & Merchandise Mart Plaza,2016,100,0.29425113464447805,5288,1556
18,Kingsbury St & Erie St,2016,74,0.796780303030303,5280,4207
19,Dearborn St & Erie St,2016,110,0.8291006301317548,5237,4342
20,Franklin St & Monroe St,2017,287,0.0613494021635984,21076,1293
21,Daley Center Plaza,2017,81,0.20079112055732673,16938,3401
22,Orleans St & Merchandise Mart Plaza,2017,100,0.17441514375855705,16799,2930
23,Michigan Ave & Washington St,2017,43,0.3493035852463245,15508,5417
24,Canal St & Adams St,2017,192,1.9030911699491326,15334,29182
25,Clinton St & Madison St,2017,77,1.5682259855635758,14408,22595
26,Clinton St & Washington Blvd,2017,91,1.5253666566896138,13364,20385
27,Columbus Dr & Randolph St,2017,195,0.3009965742759265,12844,3866
28,Canal St & Madison St,2017,174,1.1336902606094008,12701,14399
29,Kingsbury St & Kinzie St,2017,133,0.7735344827586207,11600,8973
30,Larrabee St & Kingsbury St,2017,48,0.30298977934855287,10469,3172
31,LaSalle St & Illinois St,2017,181,0.46394882359319095,9223,4279
32,LaSalle St & Adams St,2017,40,0.07245006500413663,8461,613
33,Michigan Ave & Lake St,2017,52,0.2987311178247734,8275,2472
34,Dearborn St & Monroe St,2017,49,0.2772030412563879,8023,2224
35,Dearborn St & Erie St,2017,110,0.9045528659224884,7973,7212
36,Clinton St & Lake St,2017,66,0.9396739828006674,7791,7321
37,LaSalle St & Jackson Blvd,2017,283,0.4374914042084995,7271,3181
38,Canal St & Jackson Blvd,2017,75,1.0051069703243616,7245,7282
39,Ravenswood Ave & Lawrence Ave,2017,344,0.3583607966757415,6979,2501
40,Michigan Ave & Washington St,2018,43,0.4657657657657658,2220,1034
41,Franklin St & Monroe St,2018,287,0.13010967098703888,2006,261
42,Larrabee St & Kingsbury St,2018,48,0.2596685082872928,1991,517
43,Canal St & Adams St,2018,192,2.4798982188295167,1965,4873
44,Clinton St & Madison St,2018,77,1.9627521986549405,1933,3794
45,Dearborn St & Monroe St,2018,49,0.19592476489028213,1914,375
46,Columbus Dr & Randolph St,2018,195,0.26282051282051283,1872,492
47,Kingsbury St & Kinzie St,2018,133,0.6531385281385281,1848,1207
48,Orleans St & Merchandise Mart Plaza,2018,100,0.24717194570135748,1768,437
49,Daley Center Plaza,2018,81,0.3457159976033553,1669,577
50,Michigan Ave & Lake St,2018,52,0.26872536136662284,1522,409
51,Canal St & Madison St,2018,174,1.71000680735194,1469,2512
52,Clinton St & Washington Blvd,2018,91,2.146374829001368,1462,3138
53,LaSalle St & Jackson Blvd,2018,283,0.4574314574314574,1386,634
54,Franklin St & Jackson Blvd,2018,36,0.32608695652173914,1380,450
55,Clark St & Randolph St,2018,51,0.2539912917271408,1378,350
56,Franklin St & Lake St,2018,164,0.1847914963205233,1223,226
57,Clinton St & Lake St,2018,66,1.3454545454545455,1210,1628
58,LaSalle St & Illinois St,2018,181,0.4594370860927152,1208,555
59,Dearborn St & Erie St,2018,110,0.6972245584524811,1189,829
